6.41165291328011e+04	5.32683072887922e+02     2.70781857950903e+01
6.42643329971808e+04	5.32825776433985e+02     2.70778888155087e+01
6.44124775846567e+04	5.32969049380335e+02     2.70771354240293e+01
6.45609636806767e+04	5.33112893331827e+02     2.70759212085752e+01
6.47097920724993e+04	5.33257309888477e+02     2.70742417220447e+01
6.48589635491978e+04	5.33402300645293e+02     2.70720924820540e+01
6.50084789016645e+04	5.33547867192095e+02     2.70694689706787e+01
6.51583389226150e+04	5.33694011113334e+02     2.70663666341935e+01
6.53085444065921e+04	5.33840733987915e+02     2.70627808828103e+01
6.54590961499703e+04	5.33988037389004e+02     2.70587070904150e+01
6.56099949509602e+04	5.34135922883846e+02     2.70541405943021e+01
6.57612416096119e+04	5.34284392033569e+02     2.70490766949078e+01
6.59128369278204e+04	5.34433446392996e+02     2.70435106555425e+01
6.60647817093288e+04	5.34583087510440e+02     2.70374377021200e+01
6.62170767597332e+04	5.34733316927511e+02     2.70308530228864e+01
6.63697228864870e+04	5.34884136178907e+02     2.70237517681468e+01
6.65227208989046e+04	5.35035546792214e+02     2.70161290499906e+01
6.66760716081662e+04	5.35187550287688e+02     2.70079799420151e+01
6.68297758273221e+04	5.35340148178051e+02     2.69992994790471e+01
6.69838343712967e+04	5.35493341968268e+02     2.69900826568639e+01
6.71382480568932e+04	5.35647133155333e+02     2.69803244319112e+01
6.72930177027974e+04	5.35801523228041e+02     2.69700197210209e+01
6.74481441295827e+04	5.35956513666767e+02     2.69591634011261e+01
6.76036281597139e+04	5.36112105943234e+02     2.69477503089750e+01
6.77594706175518e+04	5.36268301520280e+02     2.69357752408434e+01
6.79156723293577e+04	5.36425101851621e+02     2.69232329522448e+01
6.80722341232975e+04	5.36582508381614e+02     2.69101181576396e+01
6.82291568294462e+04	5.36740522545010e+02     2.68964255301426e+01
6.83864412797925e+04	5.36899145766707e+02     2.68821497012284e+01
6.85440883082427e+04	5.37058379461501e+02     2.68672852604354e+01
6.87020987506258e+04	5.37218225033829e+02     2.68518267550688e+01
6.88604734446973e+04	5.37378683877512e+02     2.68357686899010e+01
6.90192132301442e+04	5.37539757375493e+02     2.68191055268710e+01
6.91783189485890e+04	5.37701446899568e+02     2.68018316847819e+01
6.93377914435944e+04	5.37863753810116e+02     2.67839415389972e+01
6.94976315606677e+04	5.38026679455828e+02     2.67654294211351e+01
6.96578401472652e+04	5.38190225173425e+02     2.67462896187611e+01
6.98184180527969e+04	5.38354392287377e+02     2.67265163750798e+01
6.99793661286309e+04	5.38519182109615e+02     2.67061038886241e+01
7.01406852280979e+04	5.38684595939244e+02     2.66850463129435e+01
7.03023762064957e+04	5.38850635062240e+02     2.66633377562903e+01
7.04644399210937e+04	5.39017300751158e+02     2.66409722813052e+01
7.06268772311377e+04	5.39184594264824e+02     2.66179439047001e+01
7.07896889978541e+04	5.39352516848028e+02     2.65942465969401e+01
7.09528760844546e+04	5.39521069731210e+02     2.65698742819240e+01
7.11164393561410e+04	5.39690254130142e+02     2.65448208366627e+01
7.12803796801094e+04	5.39860071245608e+02     2.65190800909567e+01
7.14446979255551e+04	5.40030522263074e+02     2.64926458270719e+01
7.16093949636772e+04	5.40201608352360e+02     2.64655117794135e+01
7.17744716676828e+04	5.40373330667299e+02     2.64376716341987e+01
7.19399289127923e+04	5.40545690345401e+02     2.64091190291286e+01
